drug,gene,disease,label
10473486,1864756,25212,0
6894279,1881277,32270,9
3984055,432519,796920,9
10473500,447032,180889,9
147852,1273885,10473895,0
117697,5024160,52166,9
5050365,3324429,2707,9
626714,1835697,10483425,9
4498626,223919,188489,9
3108030,980749,65472,9
3690377,7789,12783,9
264422,248560,12783,6
57,6965,21127,4
8936978,4381,239660,2
2485264,261,60149,4
747153,499116,735013,7
23782,2484928,180889,1
485981,85220,326636,9
196674,4649394,4697,9
100,3126339,60149,9
71048,555191,884,8
179443,92372,3108,7
163783,2034,527665,7
436763,2546212,3236624,9
233456,2990151,2707,9
5206739,1060807,45805,1
147212,3341,15406,2
68659,6894577,45805,9
2907,1880311,8518,1
5655,46884,91209,0
5615875,261,19158,0
440563,1233912,9135,9
205294,3660,87978,2
283913,4544,21905,0
170842,495489,7607,9
117697,5578773,10483805,9
165568,37232,66823,9
4372311,638124,1878136,3
10473189,3093583,10486078,9
289826,2742053,6160,9
711874,243019,12783,4
4363325,18865,60149,5
10473352,4055521,2147,9
4113781,433272,6985,4
117697,22716,204092,6
1262623,475644,1063575,0
609,2331313,66759,5
1266,290,175379,9
36934,433877,58096,2
229374,4430426,10474093,9
1702311,752271,9135,9
128816,24050,10635,5
196926,490469,10635,8
603113,2723281,2237,7
320982,2024957,10473928,0
6661,2523,10486262,0
4757348,3340030,10485072,9
48981,1843451,67679,9
165568,58423,174128,6
68659,4544,11049,7
8685834,2339441,9135,9
556520,1616224,6578,7
75800,22134,174128,9
499822,514003,603924,9
110290,1835708,348949,9
2910584,1844585,61912,5
42346,2379120,10635,9
5005844,795488,52865,2
1907,39112,10483132,0
126694,591459,72167,9
455454,5640,10484723,9
1977989,2289904,10485951,9
10472882,409455,63423,5
5537,8570813,6985,9
511036,547552,87879,9
47384,35126,6124,3
8685834,141370,174128,9
2218188,24948,10483323,9
15862,243019,3651,5
229374,128578,188948,9
46459,158784,190089,7
514089,449087,9135,1
46459,1195423,7607,7
89129,882664,1878136,6
4649726,78007,114527,2
10473238,150100,326636,9
3396256,5814246,85582,9
2334199,2614596,24258,9
2191567,513117,10635,6
1620041,5046504,2499,9
849947,435584,3217348,9
5679640,4102,1555,4
3215529,127776,2005972,2
3195507,436458,10484545,9
398366,1892170,10483528,2
10473216,444593,63423,5
3396256,8530,24258,8
1155406,469863,4697,8
122518,434802,2499,5
474464,4184362,2707,8
4030760,863110,73939,9
868,436042,52166,3
363100,60929,35193,7
122969,1544,2876,0
5986,57190,72167,5
63784,1982292,5340929,9
252800,1124753,66759,4
487435,243019,45805,4
1853088,9689,58096,5
34887,59174,10484165,2
7137046,1391038,35951,9
182399,243019,63811,9
54407,8530,24258,9
455973,2250986,10483168,9
23431,103662,73939,8
68659,140895,61912,8
389910,3069009,73939,5
179443,5868308,10474090,9
228621,7189704,174128,8
21664,591459,72167,9
229374,8895340,12783,1
7278679,4134622,24258,9
409713,2003496,884,8
1188554,4695626,7322897,9
31943,1002665,7380,0
13227,16653,21127,9
6877315,434621,10474015,9
3567246,14293,769052,0
474082,1639557,61912,8
21909,5245595,45805,9
2810252,453531,2707,5
165568,559175,72167,1
454166,2541428,3368465,7
6279245,4033464,3651,8
10472622,454000,10473865,0
3539808,2447796,6124,9
63784,1790825,10474101,7
483265,86,8518,9
74661,477743,24258,4
59102,8327250,1555,9
834789,57831,10485046,9
54548,3030679,10635,9
10472724,1874,35951,4
702429,22357,72167,5
5640025,3634920,1878136,6
10473537,4601878,3651,9
105887,538330,73939,3
105091,709,174128,5
355227,10129,2870,9
110290,2013114,6124,6
556384,507414,20536,0
157372,1462,63423,8
3216,432862,52166,6
5021636,409627,3619,0
3539808,2529825,8518,1
10472947,788740,6985,9
6334865,1725273,63423,9
49218,4135844,532635,9
10473537,577822,89889,9
407497,456674,48937,9
3796289,508746,73939,9
1165599,50189,1878136,2
163783,9060030,8518,6
100,489258,52166,4
474082,19606,213707,7
68659,408827,7322897,9
11598285,31960,9135,9
303875,1982992,1878136,9
264422,2733233,6985,9
2106004,3866513,9135,9
4944801,249507,161949,0
21038,21414,206231,9
1901613,13982,326636,4
252800,1988522,180889,3
1444279,499116,60149,6
266223,2611751,2760,7
1011697,3947,44300,2
7309,105097,209518,2
48981,1241607,72167,6
82098,474599,180889,4
1155406,2547963,12783,1
3414563,447339,2899,2
544826,447032,180889,4
10472583,3597884,4255567,9
571231,4043489,174128,9
922273,502728,174128,9
163783,2902475,355975,9
